Time,Price,Bid.Price,Ask.Price
2024-10-17T11:37:47.017419Z,66934.1,66934.1,66934.1
2024-10-17T11:37:48.262504Z,66940.8,66938.2,66940.8
2024-10-17T11:37:48.323360Z,66940.6,66935,66940.6
2024-10-17T11:37:48.385556Z,66939.1,66934.5,66939.1
2024-10-17T11:37:48.442925Z,66939,66935.1,66939
2024-10-17T11:37:48.502832Z,66940.5,66935.2,66940.5
2024-10-17T11:37:49.642520Z,66936.6,66936.6,66936.6
2024-10-17T11:37:50.298581Z,66936.6,66934.1,66936.6
2024-10-17T11:37:50.298581Z,66934.1,66934.1,66936.6
2024-10-17T11:37:50.353110Z,66936.3,66934.2,66936.3
2024-10-17T11:37:50.396325Z,66936.6,66934.3,66936.6
2024-10-17T11:37:50.396325Z,66936.6,66934.3,66936.6
2024-10-17T11:37:50.396325Z,66936.6,66934.3,66939
2024-10-17T11:37:50.396325Z,66939,66934.3,66939
2024-10-17T11:37:50.413104Z,66939,66934.3,66939
2024-10-17T11:37:50.415613Z,66939,66934.3,66939
2024-10-17T11:37:50.474257Z,66938.8,66934.5,66938.8
2024-10-17T11:37:50.533381Z,66938.6,66934.6,66938.6
2024-10-17T11:37:50.596480Z,66938.5,66934.8,66938.5
2024-10-17T11:37:51.096789Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.096789Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.099320Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.618832Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.688895Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.787192Z,66935.9,66935.8,66935.9
2024-10-17T11:37:52.551443Z,66935.9,66935.8,66938.3
2024-10-17T11:37:52.551443Z,66938.3,66935.8,66938.3
2024-10-17T11:37:54.282143Z,66942.7,66942.6,66942.7
2024-10-17T11:37:55.843961Z,66942.7,66942.6,66942.7
2024-10-17T11:37:58.287121Z,66942.7,66942.6,66942.7
2024-10-17T11:37:58.309738Z,66942.7,66942.6,66942.7
2024-10-17T11:37:58.582747Z,66942.7,66942.6,66942.7
2024-10-17T11:37:58.824372Z,66942.7,66942.6,66942.7
2024-10-17T11:37:59.176239Z,66942.7,66942.6,66942.7
2024-10-17T11:38:00.738379Z,66942.6,66942.6,66942.7
2024-10-17T11:38:00.738379Z,66942.6,66937,66942.7
2024-10-17T11:38:00.754284Z,66934.9,66934.9,66934.9
2024-10-17T11:38:00.856421Z,66934.9,66934.9,66934.9
2024-10-17T11:38:00.856421Z,66934.9,66934.1,66934.9
2024-10-17T11:38:00.856421Z,66934.1,66934.1,66934.9
2024-10-17T11:38:00.856421Z,66934.1,66931.5,66934.9
2024-10-17T11:38:01.352771Z,66933.1,66933.1,66933.1
2024-10-17T11:38:01.476779Z,66934.8,66933.1,66934.8
2024-10-17T11:38:01.532850Z,66935.1,66930.2,66935.1
2024-10-17T11:38:01.532850Z,66935.1,66930.2,66935.1
2024-10-17T11:38:01.532850Z,66935.1,66930.2,66935.2
2024-10-17T11:38:03.055977Z,66935.2,66935.2,66935.2
2024-10-17T11:38:03.055977Z,66935.2,66935.2,66935.2
2024-10-17T11:38:03.513502Z,66935.2,66935.2,66935.2
2024-10-17T11:38:04.612563Z,66935.2,66935.2,66935.2
2024-10-17T11:38:04.612563Z,66935.2,66935.2,66935.2
2024-10-17T11:38:04.612563Z,66935.2,66930.7,66935.2
2024-10-17T11:38:06.225913Z,66930.1,66930.1,66930.1
2024-10-17T11:38:06.412181Z,66930.1,66930.1,66930.7
2024-10-17T11:38:06.412181Z,66930.7,66930.1,66930.7
2024-10-17T11:38:06.432920Z,66930.6,66930.1,66930.6
2024-10-17T11:38:06.595823Z,66930.6,66930.6,66930.6
2024-10-17T11:38:06.617016Z,66930.6,66930.6,66930.6
2024-10-17T11:38:07.488532Z,66930.6,66930.6,66930.6
2024-10-17T11:38:07.506992Z,66930.6,66930.6,66930.6
2024-10-17T11:38:09.048763Z,66930.7,66930.7,66932.6
2024-10-17T11:38:09.048763Z,66932.6,66930.7,66932.6
2024-10-17T11:38:09.160583Z,66932.6,66932.6,66934.9
2024-10-17T11:38:09.299999Z,66936.2,66936.2,66936.2
2024-10-17T11:38:09.304848Z,66936.2,66936.2,66938
2024-10-17T11:38:09.304848Z,66938,66936.2,66938
2024-10-17T11:38:09.662897Z,66938,66938,66938
2024-10-17T11:38:09.734463Z,66938,66938,66938
2024-10-17T11:38:10.254556Z,66938,66938,66938
2024-10-17T11:38:10.346220Z,66938,66938,66938
2024-10-17T11:38:11.049760Z,66938,66938,66938
2024-10-17T11:38:11.614281Z,66938,66938,66938
2024-10-17T11:38:11.614281Z,66938,66938,66938
2024-10-17T11:38:11.614281Z,66938,66938,66941.2
2024-10-17T11:38:11.853928Z,66941.2,66941.2,66942.7
2024-10-17T11:38:11.864232Z,66942.7,66942.6,66942.7
2024-10-17T11:38:11.864232Z,66942.7,66942.6,66943
2024-10-17T11:38:11.864232Z,66943,66942.6,66945.5
2024-10-17T11:38:11.946481Z,66945.5,66945.5,66945.7
2024-10-17T11:38:11.946481Z,66945.7,66945.5,66947
2024-10-17T11:38:12.117434Z,66949.3,66949.3,66949.3
2024-10-17T11:38:12.592815Z,66954,66954,66954
2024-10-17T11:38:12.620913Z,66954,66951.9,66954
2024-10-17T11:38:12.620913Z,66951.9,66949.8,66954
2024-10-17T11:38:12.620913Z,66949.8,66948.2,66954
2024-10-17T11:38:12.620913Z,66948.2,66948.2,66954
2024-10-17T11:38:12.620913Z,66948.2,66947.6,66954
2024-10-17T11:38:12.620913Z,66947.6,66947.5,66954
2024-10-17T11:38:12.620913Z,66947.5,66947,66954
2024-10-17T11:38:12.620913Z,66947,66946.4,66954
2024-10-17T11:38:12.620913Z,66946.4,66946.4,66954
2024-10-17T11:38:12.644491Z,66954,66948.9,66954
2024-10-17T11:38:12.777631Z,66953.2,66949.2,66953.2
2024-10-17T11:38:12.777631Z,66949.2,66949.2,66953.2
2024-10-17T11:38:12.777631Z,66949.2,66949.1,66953.2
2024-10-17T11:38:12.777631Z,66949.1,66949.1,66953.2
2024-10-17T11:38:12.823694Z,66952.8,66949.1,66952.8
2024-10-17T11:38:12.882667Z,66952.4,66949.1,66952.4
2024-10-17T11:38:12.882667Z,66952.4,66949.1,66952.4
2024-10-17T11:38:12.882667Z,66952.4,66949.1,66954
Time,Price,Bid.Price,Ask.Price
2024-10-17T11:44:04.988870Z,66858.8,66855.4,66862.5
2024-10-17T11:44:05.405005Z,66862.4,66862.4,66862.4
2024-10-17T11:44:05.405005Z,66862.4,66862.4,66862.4
2024-10-17T11:44:05.684401Z,66862.4,66862.4,66862.4
2024-10-17T11:44:06.259325Z,66862.4,66862.4,66862.4
2024-10-17T11:44:06.887026Z,66862.4,66857.5,66862.4
2024-10-17T11:44:07.637383Z,66857.6,66857.5,66857.6
2024-10-17T11:44:09.831821Z,66857.6,66857.5,66857.6
2024-10-17T11:44:10.464193Z,66857.5,66857.5,66857.6
2024-10-17T11:44:10.464193Z,66857.5,66857.5,66857.6
2024-10-17T11:44:10.774924Z,66857.5,66857.5,66857.6
2024-10-17T11:44:10.815690Z,66857.5,66857.5,66857.6
2024-10-17T11:44:11.077145Z,66857.5,66857.5,66857.6
2024-10-17T11:44:11.419708Z,66857.6,66857.5,66857.6
2024-10-17T11:44:11.455974Z,66857.6,66857.5,66857.6
2024-10-17T11:44:11.554154Z,66857.5,66857.5,66857.6
2024-10-17T11:44:12.346201Z,66857.6,66857.5,66857.6
2024-10-17T11:44:12.383655Z,66857.5,66857.5,66857.6
2024-10-17T11:44:13.183108Z,66857.5,66857.5,66857.6
2024-10-17T11:44:14.455758Z,66857.5,66857.5,66857.6
2024-10-17T11:44:14.685973Z,66857.6,66857.5,66857.6
2024-10-17T11:44:16.345301Z,66857.6,66857.5,66857.6
2024-10-17T11:44:16.359074Z,66857.5,66857.5,66857.6
2024-10-17T11:44:16.439537Z,66857.6,66857.5,66857.6
2024-10-17T11:44:16.597496Z,66857.6,66857.5,66857.6
2024-10-17T11:44:17.332743Z,66857.6,66857.5,66857.6
2024-10-17T11:44:18.755155Z,66857.5,66857.5,66857.6
2024-10-17T11:44:18.755155Z,66857.5,66857.5,66857.6
2024-10-17T11:44:20.369127Z,66857.6,66857.5,66857.6
2024-10-17T11:44:20.659969Z,66857.5,66857.5,66857.6
2024-10-17T11:44:20.659969Z,66857.5,66857.5,66857.6
2024-10-17T11:44:20.659969Z,66857.5,66857.5,66857.6
2024-10-17T11:44:20.659969Z,66857.5,66857.5,66857.6
2024-10-17T11:44:23.418036Z,66857.6,66857.5,66857.6
2024-10-17T11:44:24.384284Z,66857.6,66857.5,66857.6
2024-10-17T11:44:24.744338Z,66857.6,66857.5,66857.6
2024-10-17T11:44:26.314572Z,66857.6,66857.5,66857.6
2024-10-17T11:44:27.752382Z,66857.5,66857.5,66857.6
2024-10-17T11:44:28.467533Z,66857.6,66857.5,66857.6
2024-10-17T11:44:28.636869Z,66857.6,66857.5,66861
2024-10-17T11:44:28.643662Z,66862.4,66862.3,66862.4
2024-10-17T11:44:28.643662Z,66862.4,66862.3,66863.1
2024-10-17T11:44:28.643662Z,66863.1,66862.3,66863.6
2024-10-17T11:44:30.161597Z,66872.6,66872.6,66872.6
2024-10-17T11:44:30.161597Z,66872.6,66872.6,66872.9
2024-10-17T11:44:30.161597Z,66872.9,66872.6,66872.9
2024-10-17T11:44:30.161597Z,66872.9,66872.6,66874.4
2024-10-17T11:44:30.702335Z,66874.4,66874.4,66874.4
2024-10-17T11:44:30.705830Z,66874.4,66874.4,66874.4
2024-10-17T11:44:30.705830Z,66874.4,66874.4,66876
2024-10-17T11:44:30.706294Z,66876,66874.4,66876.3
2024-10-17T11:44:30.778982Z,66879,66879,66879.3
2024-10-17T11:44:30.778982Z,66879.3,66879,66879.3
2024-10-17T11:44:31.691169Z,66879.3,66879.3,66879.3
2024-10-17T11:44:32.015158Z,66879.3,66879.3,66879.3
2024-10-17T11:44:32.284637Z,66879.3,66879.3,66879.3
2024-10-17T11:44:32.284637Z,66879.3,66879.3,66879.3
2024-10-17T11:44:34.904476Z,66879.3,66879.3,66879.3
2024-10-17T11:44:34.904476Z,66879.3,66879,66879.3
2024-10-17T11:44:34.904476Z,66879,66876.9,66879.3
2024-10-17T11:44:35.416056Z,66879.3,66879.3,66879.3
2024-10-17T11:44:35.416056Z,66879.3,66879.3,66879.6
2024-10-17T11:44:35.596405Z,66881.1,66881.1,66881.8
2024-10-17T11:44:35.632442Z,66881.8,66881.7,66884
2024-10-17T11:44:36.896062Z,66885.6,66885.6,66885.6
2024-10-17T11:44:37.782190Z,66885.6,66885.6,66885.6
2024-10-17T11:44:37.782190Z,66885.6,66885.6,66885.6
2024-10-17T11:44:37.782190Z,66885.6,66885.6,66885.6
2024-10-17T11:44:37.791521Z,66885.6,66885.6,66885.6
2024-10-17T11:44:37.802362Z,66885.6,66881.4,66885.6
2024-10-17T11:44:37.812839Z,66878.9,66878.1,66878.9
2024-10-17T11:44:37.864598Z,66885.5,66879,66885.5
2024-10-17T11:44:37.897526Z,66879,66879,66884.6
2024-10-17T11:44:37.897526Z,66879,66878.9,66884.6
2024-10-17T11:44:37.897526Z,66878.9,66877.4,66884.6
2024-10-17T11:44:37.897794Z,66879,66877.4,66884.9
2024-10-17T11:44:37.927493Z,66877.6,66877.6,66882.9
2024-10-17T11:44:37.927493Z,66877.6,66877.5,66882.9
2024-10-17T11:44:37.927493Z,66877.5,66877,66882.9
2024-10-17T11:44:37.927493Z,66877,66876.9,66882.9
2024-10-17T11:44:37.927493Z,66876.9,66876.9,66882.9
2024-10-17T11:44:37.944498Z,66876.9,66876.9,66876.9
2024-10-17T11:44:38.007288Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.326676Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.378445Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.389182Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.402359Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.428367Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.469318Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.535863Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.557187Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.577524Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.641519Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.641519Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.656335Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.676996Z,66876.9,66876.9,66876.9
2024-10-17T11:44:39.676996Z,66876.9,66873.9,66876.9
2024-10-17T11:44:40.743089Z,66873.9,66873.9,66873.9
2024-10-17T11:44:42.117431Z,66873.9,66873.9,66876.3
2024-10-17T11:44:42.730382Z,66876.9,66876.9,66878.2
Time,Price,Bid.Price,Ask.Price
2024-10-17T11:45:46.303323Z,66810.5,66805,66810.5
2024-10-17T11:45:48.591169Z,66810.8,66810.8,66810.8
2024-10-17T11:45:49.412569Z,66810.8,66810.8,66810.8
2024-10-17T11:45:52.152660Z,66810.8,66810.8,66810.8
2024-10-17T11:45:52.172731Z,66810.8,66810.8,66810.8
2024-10-17T11:45:52.591109Z,66810.8,66810.8,66810.8
2024-10-17T11:45:52.799897Z,66810.8,66810.8,66810.8
2024-10-17T11:45:52.800261Z,66810.8,66810.8,66814.7
2024-10-17T11:45:53.219907Z,66814.7,66814.6,66814.7
2024-10-17T11:45:53.219907Z,66814.7,66814.6,66814.7
2024-10-17T11:45:53.219907Z,66814.7,66814.6,66814.7
2024-10-17T11:45:53.222646Z,66814.7,66814.6,66817.7
2024-10-17T11:45:53.224720Z,66819,66817.6,66820.2
2024-10-17T11:45:53.518132Z,66820.8,66820.8,66824.5
2024-10-17T11:45:54.072059Z,66824.5,66824.5,66824.5
2024-10-17T11:45:54.072059Z,66824.5,66824.5,66824.5
2024-10-17T11:45:54.072059Z,66824.5,66824.5,66826.5
2024-10-17T11:45:54.072059Z,66826.5,66824.5,66826.5
2024-10-17T11:45:55.024764Z,66827,66827,66827
2024-10-17T11:45:55.024764Z,66827,66827,66827
2024-10-17T11:45:55.025299Z,66827,66826.5,66827
2024-10-17T11:45:55.025299Z,66826.5,66826.5,66827
2024-10-17T11:45:55.025299Z,66826.5,66826.5,66827
2024-10-17T11:45:55.025299Z,66826.5,66826.5,66827
2024-10-17T11:45:55.025299Z,66826.5,66826.5,66827
2024-10-17T11:45:55.025299Z,66826.5,66824.6,66827
2024-10-17T11:45:55.025299Z,66824.6,66824.5,66827
2024-10-17T11:45:55.025299Z,66824.5,66824.5,66827
2024-10-17T11:45:55.025299Z,66824.5,66822.8,66827
2024-10-17T11:45:55.025769Z,66822.8,66820.2,66827
2024-10-17T11:45:55.027966Z,66820.2,66820,66826.5
2024-10-17T11:45:55.027966Z,66820,66819.4,66826.5
2024-10-17T11:45:55.027966Z,66819.4,66819.4,66826.5
2024-10-17T11:45:55.028266Z,66819.4,66819.1,66826.5
2024-10-17T11:45:55.028266Z,66819.1,66818.5,66826.5
2024-10-17T11:45:55.028266Z,66818.5,66817.7,66826.5
2024-10-17T11:45:55.028266Z,66817.7,66815.1,66826.5
2024-10-17T11:45:55.094826Z,66814.9,66814.9,66815
2024-10-17T11:45:55.134721Z,66814.9,66814.9,66815
2024-10-17T11:45:55.134721Z,66814.9,66810,66815
2024-10-17T11:45:55.184898Z,66808.5,66808.5,66808.5
2024-10-17T11:45:56.030261Z,66808.5,66808.4,66808.5
2024-10-17T11:45:56.030261Z,66808.4,66804.7,66808.5
2024-10-17T11:45:56.072821Z,66804.7,66804.7,66804.7
2024-10-17T11:45:56.722827Z,66804.7,66804.7,66804.7
2024-10-17T11:45:56.776152Z,66804.7,66804.7,66804.7
2024-10-17T11:45:58.221835Z,66804.7,66804.7,66804.7
2024-10-17T11:45:58.221835Z,66804.7,66804.7,66804.7
2024-10-17T11:45:58.234255Z,66804.7,66804.7,66804.7
2024-10-17T11:45:58.251769Z,66804.7,66804.7,66804.7
2024-10-17T11:45:58.584693Z,66804.7,66804.7,66804.7
2024-10-17T11:45:58.769230Z,66804.7,66804.7,66804.7
2024-10-17T11:45:59.221769Z,66804.7,66804.7,66804.7
2024-10-17T11:45:59.346737Z,66804.7,66804.7,66804.7
2024-10-17T11:45:59.346737Z,66804.7,66804.7,66804.7
2024-10-17T11:45:59.346737Z,66804.7,66801,66804.7
2024-10-17T11:45:59.346737Z,66801,66800,66804.7
2024-10-17T11:45:59.346737Z,66800,66800,66804.7
2024-10-17T11:45:59.346737Z,66800,66800,66804.7
2024-10-17T11:45:59.346737Z,66800,66800,66804.7
2024-10-17T11:45:59.347130Z,66800,66800,66804.7
2024-10-17T11:45:59.347428Z,66800,66800,66804.7
2024-10-17T11:45:59.362320Z,66800,66800,66800
2024-10-17T11:45:59.370532Z,66800,66800,66800
2024-10-17T11:45:59.382035Z,66800,66800,66800
2024-10-17T11:45:59.394461Z,66800,66800,66800
2024-10-17T11:45:59.455099Z,66800,66800,66802.9
2024-10-17T11:45:59.680138Z,66800.9,66800,66800.9
2024-10-17T11:45:59.710851Z,66800.9,66800.9,66805.7
2024-10-17T11:45:59.876322Z,66803.1,66803.1,66803.1
2024-10-17T11:46:00.402554Z,66808.5,66808.5,66808.5
2024-10-17T11:46:01.417648Z,66808.5,66808.5,66808.5
2024-10-17T11:46:02.022372Z,66808.5,66808.5,66808.5
2024-10-17T11:46:02.207065Z,66808.5,66808.5,66808.5
2024-10-17T11:46:02.258304Z,66808.5,66808.5,66808.5
2024-10-17T11:46:02.258304Z,66808.5,66804.9,66808.5
2024-10-17T11:46:02.590264Z,66804.7,66804.7,66804.7
2024-10-17T11:46:02.600838Z,66804.7,66804.7,66804.7
2024-10-17T11:46:02.617284Z,66804.7,66804.7,66804.7
2024-10-17T11:46:02.646760Z,66804.7,66804.7,66804.7
2024-10-17T11:46:02.674821Z,66804.7,66804.7,66804.7
2024-10-17T11:46:02.774844Z,66804.7,66804.7,66804.7
2024-10-17T11:46:02.784830Z,66804.7,66804.7,66804.7
2024-10-17T11:46:02.784830Z,66804.7,66804.7,66804.7
2024-10-17T11:46:02.784830Z,66804.7,66800,66804.7
2024-10-17T11:46:02.856991Z,66800,66800,66800
2024-10-17T11:46:02.856991Z,66800,66800,66800
2024-10-17T11:46:02.891393Z,66800,66800,66800
2024-10-17T11:46:03.546817Z,66800,66800,66800
2024-10-17T11:46:03.758731Z,66800,66800,66800
2024-10-17T11:46:03.758762Z,66800,66800,66800
2024-10-17T11:46:03.758762Z,66800,66800,66800
2024-10-17T11:46:03.758762Z,66800,66800,66800
2024-10-17T11:46:03.758762Z,66800,66800,66800
2024-10-17T11:46:03.758762Z,66800,66800,66800
2024-10-17T11:46:03.759320Z,66800,66800,66800
2024-10-17T11:46:03.759320Z,66800,66797.2,66800
2024-10-17T11:46:03.760306Z,66797.2,66794.7,66800
2024-10-17T11:46:03.760306Z,66794.7,66794.1,66800
2024-10-17T11:46:03.760306Z,66794.1,66793.7,66800
